experiment_id,sample_size,use_custom_ocr,prompt_type,chunk_size_category,no_schema,example_num,transformation_method,chunking_method,level_type
86,40,False,chain_of_thought,medium,False,1.0,layout-aware,fixed,UTL
87,40,False,chain_of_thought,medium,False,1.0,naive,fixed,UTL
88,40,False,chain_of_thought,medium,False,3.0,layout-aware,fixed,UTL
89,40,False,chain_of_thought,medium,False,3.0,naive,fixed,UTL
90,40,False,chain_of_thought,medium,False,5.0,layout-aware,fixed,UTL
91,40,False,chain_of_thought,medium,False,5.0,naive,fixed,UTL
92,40,False,chain_of_thought,small,False,0.0,layout-aware,fixed,STL
93,40,False,chain_of_thought,small,False,0.0,naive,fixed,STL
94,40,False,chain_of_thought,small,False,1.0,layout-aware,fixed,STL
95,40,False,chain_of_thought,small,False,1.0,naive,fixed,STL
96,40,False,chain_of_thought,small,False,3.0,layout-aware,fixed,STL
97,40,False,chain_of_thought,small,False,3.0,naive,fixed,STL
98,40,False,chain_of_thought,small,False,5.0,layout-aware,fixed,STL
99,40,False,chain_of_thought,small,False,5.0,naive,fixed,STL
100,40,False,chain_of_thought,small,False,0.0,layout-aware,fixed,UTL
101,40,False,chain_of_thought,small,False,0.0,naive,fixed,UTL
102,40,False,chain_of_thought,small,False,1.0,layout-aware,fixed,UTL
103,40,False,chain_of_thought,small,False,1.0,naive,fixed,UTL
104,40,False,chain_of_thought,small,False,3.0,layout-aware,fixed,UTL
105,40,False,chain_of_thought,small,False,3.0,naive,fixed,UTL
106,40,False,chain_of_thought,small,False,5.0,layout-aware,fixed,UTL
107,40,False,chain_of_thought,small,False,5.0,naive,fixed,UTL
