experiment_id,sample_size,use_custom_ocr,prompt_type,chunk_size_category,no_schema,example_num,transformation_method,chunking_method,template_type
129,100,False,chain_of_thought,medium,False,5.0,naive,fixed,MTL
130,100,False,chain_of_thought,medium,False,0.0,layout-aware,fixed,UTL
131,100,False,chain_of_thought,medium,False,0.0,naive,fixed,UTL
132,100,False,chain_of_thought,medium,False,1.0,layout-aware,fixed,UTL
133,100,False,chain_of_thought,medium,False,1.0,naive,fixed,UTL
134,100,False,chain_of_thought,medium,False,3.0,layout-aware,fixed,UTL
135,100,False,chain_of_thought,medium,False,3.0,naive,fixed,UTL
136,100,False,chain_of_thought,medium,False,5.0,layout-aware,fixed,UTL
137,100,False,chain_of_thought,medium,False,5.0,naive,fixed,UTL
138,100,False,chain_of_thought,small,False,0.0,layout-aware,fixed,STL
139,100,False,chain_of_thought,small,False,0.0,naive,fixed,STL
140,100,False,chain_of_thought,small,False,1.0,layout-aware,fixed,STL
141,100,False,chain_of_thought,small,False,1.0,naive,fixed,STL
142,100,False,chain_of_thought,small,False,3.0,layout-aware,fixed,STL
143,100,False,chain_of_thought,small,False,3.0,naive,fixed,STL
144,100,False,chain_of_thought,small,False,5.0,layout-aware,fixed,STL
145,100,False,chain_of_thought,small,False,5.0,naive,fixed,STL
146,100,False,chain_of_thought,small,False,0.0,layout-aware,fixed,MTL
147,100,False,chain_of_thought,small,False,0.0,naive,fixed,MTL
148,100,False,chain_of_thought,small,False,1.0,layout-aware,fixed,MTL
149,100,False,chain_of_thought,small,False,1.0,naive,fixed,MTL
150,100,False,chain_of_thought,small,False,3.0,layout-aware,fixed,MTL
151,100,False,chain_of_thought,small,False,3.0,naive,fixed,MTL
152,100,False,chain_of_thought,small,False,5.0,layout-aware,fixed,MTL
153,100,False,chain_of_thought,small,False,5.0,naive,fixed,MTL
154,100,False,chain_of_thought,small,False,0.0,layout-aware,fixed,UTL
155,100,False,chain_of_thought,small,False,0.0,naive,fixed,UTL
156,100,False,chain_of_thought,small,False,1.0,layout-aware,fixed,UTL
157,100,False,chain_of_thought,small,False,1.0,naive,fixed,UTL
158,100,False,chain_of_thought,small,False,3.0,layout-aware,fixed,UTL
159,100,False,chain_of_thought,small,False,3.0,naive,fixed,UTL
160,100,False,chain_of_thought,small,False,5.0,layout-aware,fixed,UTL
161,100,False,chain_of_thought,small,False,5.0,naive,fixed,UTL
